Time,MsgL,PLC/PCReq,DType,ProVer,MeasurementGroupNumber,PLCSendDelayTime,CommonBitValue,Lot_ID,Recipe_ID,M#00_ID,M#00_BitValue#0,M#00_BitValue#1,M#00_BitValue#2,M#00_BitValue#3,M#00_Recipe_Number,M#00_PV_Number,M#00_RAW_Number,M#00_Judge_Code,M#00_TimeBlock_01,M#00_TimeBlock_02,M#00_TimeBlock_03,M#00_TimeBlock_04,M#00_CellCountNo,M#01_ID,M#01_BitValue#0,M#01_BitValue#1,M#01_BitValue#2,M#01_BitValue#3,M#01_Recipe_Number,M#01_PV_Number,M#01_RAW_Number,M#01_Judge_Code,M#01_TimeBlock_01,M#01_TimeBlock_02,M#01_TimeBlock_03,M#01_TimeBlock_04,M#01_CellCountNo,BitModeValue
00:00:55.297841,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,746,67,0,0,2,0,0,0,5,100,100,0,0,444,747,67,0,0,2,0,0,0,5,100,100,0,0,444,0
00:00:55.827029,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,748,67,0,0,2,0,0,0,5,0,0,0,0,445,749,67,0,0,2,0,0,0,5,0,0,0,0,445,0
00:00:56.366117,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,750,67,0,0,2,0,0,0,5,0,100,0,0,446,751,67,0,0,2,0,0,0,5,0,100,0,0,446,0
00:00:56.892457,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,752,67,0,0,2,0,0,0,5,100,100,0,0,447,679,67,0,0,2,0,0,0,5,100,100,0,0,447,0
00:00:57.429918,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,680,67,0,0,2,0,0,0,5,0,0,0,0,448,681,67,0,0,2,0,0,0,5,0,0,0,0,448,0
00:00:57.955353,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,682,67,0,0,2,0,0,0,5,0,0,0,0,449,683,67,0,0,2,0,0,0,5,0,0,0,0,449,0
00:00:58.487985,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,684,67,0,0,2,0,0,0,5,100,100,0,0,450,685,67,0,0,2,0,0,0,5,100,100,0,0,450,0
00:00:59.021368,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,686,67,0,0,2,0,0,0,5,0,0,0,0,451,687,67,0,0,2,0,0,0,5,0,0,0,0,451,0
00:00:59.551257,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,688,67,0,0,2,0,0,0,5,0,0,0,0,452,696,67,0,0,2,0,0,0,5,0,0,0,0,452,0
00:01:00.082030,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,697,67,0,0,2,0,0,0,5,100,100,0,0,453,698,67,0,0,2,0,0,0,5,100,100,0,0,453,0
00:01:00.614308,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,699,67,0,0,2,0,0,0,5,0,0,0,0,454,700,67,0,0,2,0,0,0,5,0,0,0,0,454,0
00:01:01.151765,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,701,67,0,0,2,0,0,0,5,0,0,0,0,455,702,67,0,0,2,0,0,0,5,0,0,0,0,455,0
00:01:01.678394,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,703,67,0,0,2,0,0,0,5,100,100,0,0,456,704,67,0,0,2,0,0,0,5,100,100,0,0,456,0
00:01:02.211974,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,705,67,0,0,2,0,0,0,5,100,100,0,0,457,706,67,0,0,2,0,0,0,5,100,100,0,0,457,0
00:01:02.743477,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,707,67,0,0,2,0,0,0,5,0,0,0,0,458,708,67,0,0,2,0,0,0,5,0,0,0,0,458,0
00:01:03.279063,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,709,67,0,0,2,0,0,0,5,100,100,0,0,459,711,67,0,0,2,0,0,0,5,100,100,0,0,459,0
00:01:03.811661,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,712,67,0,0,2,0,0,0,5,100,100,0,0,460,713,67,0,0,2,0,0,0,5,100,100,0,0,460,0
00:01:04.339274,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,714,67,0,0,2,0,0,0,5,0,0,0,0,461,715,67,0,0,2,0,0,0,5,0,0,0,0,461,0
00:01:04.871229,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,716,67,0,0,2,0,0,0,5,100,100,0,0,462,717,67,0,0,2,0,0,0,5,100,100,0,0,462,0
00:01:05.400385,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,718,67,0,0,2,0,0,0,5,100,100,0,0,463,719,67,0,0,2,0,0,0,5,100,100,0,0,463,0
00:01:05.930607,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,720,67,0,0,2,0,0,0,5,0,0,0,0,464,721,67,0,0,2,0,0,0,5,0,0,0,0,464,0
00:01:06.465937,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,728,67,0,0,2,0,0,0,5,100,100,0,0,465,729,67,0,0,2,0,0,0,5,100,100,0,0,465,0
00:01:07.000431,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,730,67,0,0,2,0,0,0,5,100,100,0,0,466,731,67,0,0,2,0,0,0,5,100,100,0,0,466,0
00:01:07.533742,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,732,67,0,0,2,0,0,0,5,0,0,0,0,467,733,67,0,0,2,0,0,0,5,0,0,0,0,467,0
00:01:08.060158,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,734,67,0,0,2,0,0,0,5,0,0,0,0,468,735,67,0,0,2,0,0,0,5,0,0,0,0,468,0
00:01:08.594814,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,736,67,0,0,2,0,0,0,5,100,100,0,0,469,737,67,0,0,2,0,0,0,5,100,100,0,0,469,0
